manufacturer,model_type,overall_diameter_mm,overall_length_mm,gear_box,gear_ratio,rated_torque_nm,peak_torque_nm,rated_speed_rpm,efficiency,weight_kg,built_in_controller,link,peak_torque_density_after_gear_nm_per_kg,dc_voltage_v,overall_volume_mm^3,rated_torque_before_gear_nm,peak_torque_before_gear_nm,peak_over_rated_torque_ratio,rated_speed_before_gear_rpm,rated_torque_density_before_gear_nm_per_kg,rated_power_kw,peak_power_kw,rated_power_density_kw_per_kg,peak_power_density_kw_per_kg
Schaeffler,Size-14,70,74.5,Harmonic,81,10,30,43.75,,0.7,Yes,,42.9,48,286710,0.1,0.4,4,3543.8,0.1,0.04,0.15,0.06,0.21
Schaeffler,Size 85,85.5,25,Planetary,9.5,55,160,10,92%,0.85,No,,188.2,,143536,5.8,16.8,2.9,95,6.8,0.06,0.17,0.07,0.2
Schaeffler,MA-p-60-IP66,78,49.7,Planetary,6,3,9,400,,0.43,Yes,MA-p-60-IP66,20.9,,237485,0.5,1.5,3,2400,1.2,0.13,0.38,0.3,0.88
Schaeffler,MA-h-IP66,73,62,Harmonic,50,15,32,66,,0.54,Yes,MA-h-IP66,59.3,,259494,0.3,0.6,2,3300,0.6,0.1,0.21,0.19,0.39
Schaeffler,Size-20,90,81,Harmonic,101,52,107,35,,1.5,Yes,,71.3,48,515300,0.5,1.1,2.2,3535,0.3,0.19,0.41,0.13,0.27
Schaeffler,Size-17,80,77.5,Harmonic,101,31,70,35,,1,Yes,,70,48,389557,0.3,0.7,2.3,3535,0.3,0.11,0.26,0.11,0.26
Schaeffler,MA-hs-IP66,102,91,Harmonic,50,28,60,90,,1.25,Yes,MA-hs-IP66,48,,743587,0.6,1.2,2,4500,0.5,0.28,0.57,0.22,0.46
Schaeffler,Size-32,75,158,Harmonic,121,280,460,10,,,Yes,,,,698023,2.3,3.8,1.7,1210,0,0.29,0.48,0,0
Schaeffler,Size-25,110,88,Harmonic,101,87,204,35,,2.2,Yes,,92.7,48,836292,0.9,2,2.2,3535,0.409090909,0.33,0.74,0.15,0.34
Schaeffler,MA-p-80-IP66,100,48.35,Planetary,6,6,12,603,,0.5,Yes,MA-p-80-IP66,24,,379740,1,2,2,3618,2,0.38,0.76,0.76,1.52
Schaeffler,MA-p-80-IP66,100,48.35,Planetary,9,9,18,390,,0.5,Yes,MA-p-80-IP66,36,,379740,1,2,2,3510,2,0.37,0.74,0.74,1.48
Schaeffler,MA-p-100-IP66,103,66.4,Planetary,9,18,48,421,,1,Yes,MA-p-100-IP66,48,,553264,2,5.3,2.7,3789,2,0.79,2.1,0.79,2.1
Schaeffler,Size 150,112,34,Planetary,8,150,460,60,92%,1.1,No,,418.2,,334969,18.8,57.5,3.1,480,17.1,0.94,2.89,0.85,2.63
Akribis Systems,ADR045-F-005,45,5,,1,0.05,0.15,3000,,0.08,No,,1.9,,7952,0.1,0.2,2,3000,1.3,0.03,0.06,0.38,0.75
Akribis Systems,ADR045-F-010,45,10,,1,0.1,0.3,3000,,0.11,No,,2.7,,15904,0.1,0.3,3,3000,0.9,0.03,0.09,0.27,0.82
Akribis Systems,ACD62-P-10,62,10,,1,0.115,0.4,3000,,0.5,No,,0.8,,30191,0.1,0.4,4,3000,0.2,0.03,0.13,0.06,0.26
Akribis Systems,ADR060-F-010,60,10,,1,0.33,0.95,3000,,0.22,No,,4.3,,28274,0.3,1,3.3,3000,1.4,0.09,0.31,0.41,1.41
Akribis Systems,ACD62-P-30,62,30,,1,0.341,1.19,3000,,0.8,No,,1.5,,90572,0.3,1.2,4,3000,0.4,0.09,0.38,0.11,0.48
Akribis Systems,ACD85-P-15,85,15,,1,0.54,2.19,2200,,0.47,No,,4.7,,85118,0.5,2.2,4.4,2200,1.1,0.12,0.51,0.26,1.09
Akribis Systems,ADR050-T-014,50,14,,1,0.48,1.44,3000,,0.12,No,,12,,27489,0.5,1.4,2.8,3000,4.2,0.16,0.44,1.33,3.67
Akribis Systems,ADR060-F-020,60,20,,1,0.65,1.9,3000,,0.35,No,,5.4,,56549,0.7,1.9,2.7,3000,2,0.22,0.6,0.63,1.71
Akribis Systems,ADR075-F-015,75,15,,1,0.8,2.41,3000,,0.46,No,,5.2,,66268,0.8,2.4,3,3000,1.7,0.25,0.75,0.54,1.63
Akribis Systems,ACD120-P-20,120,20,,1,1.85,6.46,1800,,3.2,No,,2,,226195,1.9,6.5,3.4,1800,0.6,0.36,1.23,0.11,0.38
Akribis Systems,ADR110-P-22,110,22,,1,1.9,5.8,2000,,1.13,No,,5.1,,209073,1.9,5.8,3.1,2000,1.7,0.4,1.21,0.35,1.07
Akribis Systems,ADR080-T-020,80,20,,1,1.41,4.22,3000,,0.58,No,,7.3,,100531,1.4,4.2,3,3000,2.4,0.44,1.32,0.76,2.28
Akribis Systems,ADR075-F-030,75,30,,1,1.61,4.82,3000,,0.8,No,,6,,132536,1.6,4.8,3,3000,2,0.5,1.51,0.63,1.89
Akribis Systems,ADR080-F-020,80,20,,1,1.41,4.22,3000,,0.58,No,,7.3,,100531,1.4,4.2,3,3000,2.4,0.44,1.32,0.76,2.28
Akribis Systems,ADR090-F-020,90,20,,1,1.88,5.61,3000,,0.85,No,,6.6,,127235,1.9,5.6,2.9,3000,2.2,0.6,1.76,0.71,2.07
Akribis Systems,ADR090-F-040,90,40,,1,3.75,11.22,1800,,1.49,No,,7.5,,254469,3.8,11.2,2.9,1800,2.6,0.72,2.11,0.48,1.42
Akribis Systems,ADR110-P-45,110,45,,1,4.2,12.6,2000,,2.2,No,,5.7,,427649,4.2,12.6,3,2000,1.9,0.88,2.64,0.4,1.2
Akribis Systems,ADR135-P-27,135,27,,1,4.5,13.6,2000,,1.9,No,,7.2,,386475,4.5,13.6,3,2000,2.4,0.94,2.85,0.49,1.5
Akribis Systems,ADR135-P-54,135,54,,1,10.3,31,2000,,3.9,No,,7.9,,772950,10.3,31,3,2000,2.6,2.16,6.49,0.55,1.66
Akribis Systems,ADR175-P-36,175,36,,1,14.3,42.9,1200,,4.6,No,,9.3,,865901,14.3,42.9,3,1200,3.1,1.8,5.39,0.39,1.17
Akribis Systems,ADR280-P-40,280,40,,1,50.7,147.7,700,,24.8,No,,6,,2463009,50.7,147.7,2.9,700,2,3.72,10.83,0.15,0.44
Akribis Systems,ADR175-P-72,175,37,,1,31.5,94.4,1300,,8,No,,11.8,,889954,31.5,94.4,3,1300,3.9,4.29,12.85,0.54,1.61
Akribis Systems,ADR220-P-50,220,50,,1,43,129.1,600,,9.8,No,,13.2,,1900664,43,129.1,3,600,4.4,2.7,8.11,0.28,0.83
Akribis Systems,ADR220-P-100,220,100,,1,91.9,275.8,600,,19.5,No,,14.1,,3801327,91.9,275.8,3,600,4.7,5.77,17.33,0.3,0.89
Akribis Systems,ADR320-P-80,320,80,,1,109.2,327.6,650,,22,No,,14.9,,6433982,109.2,327.6,3,650,5,7.43,22.3,0.34,1.01
Akribis Systems,ADR360-P-70,360,70,,1,171,513,600,,24.8,No,,20.7,,7125132,171,513,3,600,6.9,10.74,32.23,0.43,1.3
Akribis Systems,ADR360-P-140,360,140,,1,358,1074,300,,46.8,No,,22.9,,14250264,358,1074,3,300,7.6,11.25,33.74,0.24,0.72
ElectroCraft,LRPX22-042V12-003,22,77.2,Planetary,3.5,0.09,0.28,2408,,0.1364,No,,2.1,,29346,0.025714286,0.08,3.1,8428,0.2,0.02,0.07,0.15,0.51
ElectroCraft,RPX22-042,22,61,,1,0.042,0.091,9000,,0.072,No,,1.3,,23188,0.042,0.1,2.380952381,9000,0.6,0.04,0.09,0.56,1.25
ElectroCraft,RPX40-125,40,42,,1,0.125,0.398,4775,,0.16,No,,2.5,,52779,0.1,0.4,4,4775,0.6,0.05,0.2,0.31,1.25
ElectroCraft,RPX32-090,32,67,,1,0.09,0.282,7000,,0.15,No,,1.9,,53885,0.1,0.3,3,7000,0.7,0.07,0.22,0.47,1.47
ElectroCraft,RPX40-250,40,52,,1,0.155,0.763,4075,,0.24,No,,3.2,,65345,0.2,0.8,4,4075,0.8,0.09,0.34,0.38,1.42
ElectroCraft,RPX40-325,40,72,,1,0.27,0.991,2950,,0.37,No,,2.7,,90478,0.3,1,3.3,2950,0.8,0.09,0.31,0.24,0.84
ElectroCraft,RPX52-300,52,65,,1,0.3,0.7,3400,,0.36,No,,1.9,,138042,0.3,0.7,2.3,3400,0.8,0.11,0.25,0.31,0.69
ElectroCraft,RPX52-600,52,77.5,,1,0.6,1.65,2000,,0.52,No,,3.2,,164588,0.6,1.7,2.8,2000,1.2,0.13,0.36,0.25,0.69
